age,sharing,n_swipes
64,0,71
62,0.0375,4
57,0,68
65,0.017375,64
65,0.017375,57
43,0,19
50,0.078375,48
45,0.016375,33
44,0.00600000000000001,45
62,0.141625,72
55,0.09375,101
37,0.01675,80
55,0.265875,45
70,0.030125,60
52,0.077,73
40,0,1
55,0.20825,5
54,0.035125,1
68,0.013375,56
52,0.131625,14
35,0.01475,33
64,0.010375,57
34,0.01975,16
68,0.16875,10
34,0,9
35,0.01875,2
66,0.040875,70
48,0.05125,55
53,0.05125,35
68,0.181125,94
45,0.001,80
61,-0.001,49
59,0.05425,83
63,0.001375,104
70,0.075,79
56,0.1125,50
61,0.00137499999999999,90
66,0,95
63,0.012375,50
63,0.116875,64
39,0.01775,29
51,0,63
39,0.029125,47
62,0.056625,91
43,0.090375,86
71,0.000374999999999986,116
59,0.112125,66
40,0.068625,72
61,0.05625,83
45,0.54775,71
55,0.002375,79
53,0.05625,49
59,0.148625,80
65,-0.001,96
60,0,96
45,0,53
64,0.075,82
51,0.023125,4
63,0,14
30,0.006375,3
55,0,37
32,0.002,9
50,0,1
57,0.05225,89
