age,sharing,n_swipes
34,0.023125,49
54,0,61
44,0.01875,77
55,0.149625,56
41,0,71
54,0.00137499999999999,45
55,0.09875,8
46,0.004,64
56,0,91
51,0.222625,61
47,0.024125,62
57,0,88
61,0,84
42,0.01775,61
54,0,106
56,0.00637500000000002,86
59,0,89
47,0.037125,80
54,0.016375,83
51,0.00737500000000001,77
47,0.05625,68
33,0.038875,38
54,0,64
50,0.16775,69
48,0,83
36,0.002,51
36,0.01975,73
38,0,72
56,0.01475,44
56,0.051875,39
60,0.010375,81
51,0.0211249999999999,110
44,0.05525,63
53,0,66
56,0,78
45,0.036875,73
44,0.09875,59
57,0.010375,58
57,0.0405,96
50,0,79
50,0.076,62
59,0.136625,58
58,0,71
61,0.00837500000000002,98
56,0.09375,48
55,0.00537499999999999,80
53,0,86
54,0.1125,41
58,0.09875,54
50,0.021125,71
38,0.1085,87
62,0.020125,94
49,0.070625,73
39,0.067625,37
59,0.13225,69
53,0.01875,67
43,0.003,68
45,0,92
39,0,70
53,0.032125,61
51,0.019375,84
44,0,69
39,0.026125,62
59,0,84
38,0,60
37,0.0315,46
61,0,67
49,0,61
31,0.0315,60
52,0.01975,68
46,0.050875,54
33,0,41
40,0.0355,60
58,0.208625,102
47,0.05625,77
47,0.01875,62
39,0.031125,38
39,0.039875,34
39,0.02175,45
38,0.003375,46
35,0.00437499999999999,54
35,0.05625,39
36,0.0385,35
34,0.01875,64
34,0.004375,39
51,0.000374999999999986,86
40,0.074,37
54,0,85
42,0.085375,46
53,0,94
48,0.019375,70
66,0,95
67,0.02175,35
67,0.144625,56
58,0.05625,73
61,0.01875,104
65,0.001375,69
61,0.075,44
61,0.027125,75
69,0.00737499999999999,96
62,0.052875,88
58,0,74
70,0.01875,99
66,0.02475,89
59,0.002,83
60,0,79
45,0.01475,83
65,0.019375,99
67,0.012375,114
59,0.09375,68
59,0,79
56,0.002,69
44,0.042875,57
57,0,85
56,0.119875,78
52,0.1135,85
41,0,60
43,0.15,53
55,0,79
42,0.02275,51
44,0.033125,95
57,0.004375,54
58,0.01175,60
38,0.016375,30
43,0.0375,75
56,0,75
50,0.117875,69
50,0.001,88
53,0.01875,84
55,0,95
70,0.0197499999999999,76
64,0.001,98
64,0,101
42,0.070625,69
30,-0.000625000000000014,51
54,0.071625,25
64,0,75
66,0,99
70,0.01875,74
63,0,96
70,0.015375,99
61,0.156,53
69,0.048875,108
63,0,93
67,0.01875,96
63,0,94
65,0.00637499999999999,94
66,0.001,82
68,0.09375,108
69,0,89
71,0,89
67,0,95
47,0,59
70,0,87
63,0,94
68,0.017375,111
70,0.023125,107
69,0.029125,116
71,0.01775,86
65,0.1215,94
41,0.05625,38
46,0.040875,48
64,0.00337499999999999,66
64,0.130875,97
69,0,89
67,0,80
68,0.06125,77
45,0.017375,73
47,0.12625,47
44,0.05825,64
47,0.05625,53
42,0,56
50,0.011375,60
57,0.0375,87
55,0.0435,51
48,0.052875,70
49,0,86
49,0.016375,73
40,-0.001,48
52,0.01575,95
46,0,77
55,0.111125,92
38,0.0335,48
50,0.00837500000000002,83
44,0.077375,36
45,0,59
45,0.203875,57
46,0.114875,32
31,0.01675,63
44,0,84
55,0,80
71,0.000374999999999986,79
30,0.057625,17
46,0.060625,66
30,0.044875,47
31,0.01875,54
40,0,48
57,0.022125,71
65,0,54
40,0.042875,53
53,0,59
37,0,53
49,0.05625,61
41,0,76
46,0.0191249999999999,65
41,0.001,72
49,0.00737500000000001,78
56,0.01475,99
61,0,102
41,0,74
32,0.021125,59
33,0.048875,43
30,0,8
50,0.011375,99
45,0,75
42,0.31175,78
38,0.021125,61
59,0.0375,93
52,0,76
59,0,67
32,0.01875,54
32,0.09375,49
30,0.13125,30
30,0.01875,58
31,0.055875,48
30,0.00337499999999999,3
58,0.078,91
61,0.026125,52
60,0.025125,65
59,0.01875,96
65,0.0375,85
67,0.15,109
60,0,86
64,0,85
56,0.020125,78
52,0,77
55,0.01675,77
50,0.030125,78
57,0,95
63,0,90
66,0.05625,114
57,0,80
42,0,80
63,0,101
62,0,88
48,0.01875,79
41,0.01875,71
49,0.003,68
42,0.0465,72
55,0.0211249999999999,91
61,0.15,74
64,0,101
64,0.053875,88
69,0,100
62,0.018125,85
70,0,114
50,0.01875,29
55,0.1095,85
62,0,103
64,0.066625,64
45,0.038875,43
71,0.01875,89
45,0,79
69,0,104
51,0.0375,67
47,0.076375,74
43,0.1815,69
39,0.05525,39
39,0,42
35,0.055875,35
33,0.057625,68
33,0,58
30,0.0375,41
53,0.032125,66
44,0.023125,38
49,0.146625,58
38,0.0315,61
39,0.134625,60
40,0,79
47,0,87
34,0.045875,56
51,0.087375,33
34,0.004375,53
50,0,64
37,0.1845,36
57,0.002,88
64,0,84
53,0.000375,69
55,0,82
63,0.032125,63
62,0.01875,79
59,0,79
65,0.010375,107
56,0,96
66,0,81
67,0,93
61,0.152,68
57,0.131625,78
53,0,90
50,0,76
56,0.0375,86
47,0,51
30,0.2575,13
42,0.01875,76
64,0.014375,98
65,0,74
63,0.00637499999999999,67
49,0.0375,99
52,0.00737499999999999,81
47,0.023125,56
66,0,105
