age,sharing,n_swipes
36,0.007375,47
48,0.049875,31
42,0,86
45,0,66
48,0,67
48,0.05625,63
41,0.008375,79
47,0,102
59,0,56
57,0.0355,70
58,0.05125,125
59,0.075,57
46,0,42
59,0.011375,74
61,0,81
58,0.018125,81
52,0.033125,72
48,0.1125,61
72,0,97
72,0.00237499999999999,109
70,0.001,141
68,0.09975,85
68,0.024125,130
36,0.0375,64
42,0.001,75
47,0,84
50,0,52
41,0.02575,46
45,0.06025,86
47,0.038875,64
59,0,64
58,0,91
56,0.035125,76
60,0.0355,51
55,0.0315,80
49,0.01875,73
58,0.09375,78
58,0,83
40,0,57
72,0.01275,83
67,0.138625,75
48,0.01875,83
60,0,92
62,0,82
64,0.006375,72
56,0.000374999999999993,57
58,0.015375,101
44,0.01075,55
68,0,87
68,0.014375,83
46,0.09175,33
71,0.029125,92
58,0.0375,58
40,0,57
72,0.016375,60
55,0,69
51,0.022125,74
45,0.01475,66
36,0.014375,57
46,0.037875,45
64,0,96
68,0.002375,48
52,0.104125,68
46,0.307375,91
58,0.017375,80
40,0.004,43
53,0,85
49,0.038125,63
56,0.0375,81
66,0,83
38,0.000374999999999986,52
70,0,87
47,0,85
42,0.016375,79
58,0.001,102
58,0.020125,60
63,0,88
68,0,89
40,0.00600000000000001,60
69,0.00237500000000002,101
69,0,74
55,0,110
53,0.01875,86
43,0.004,110
44,0.000374999999999995,65
52,0.001,33
52,0,89
50,0.016375,61
55,0.00837500000000001,76
52,0.01675,53
42,0.001,69
59,0.05725,89
39,0,46
64,0.162375,63
44,0,77
62,0.075,103
65,0,77
45,0.054875,69
62,0.01775,68
42,0.01875,58
40,0,21
67,0.05425,74
70,0.001,83
68,0.01875,95
42,0.02275,53
53,0.008375,48
59,0.1085,83
50,0.01875,58
43,0.02375,130
49,0.00700000000000001,80
69,0,93
60,0.005375,90
60,0.036875,64
41,0.0187499999999999,101
70,0.00837500000000002,114
43,0.060625,44
53,0,90
57,0,83
53,0,76
50,0.02475,94
38,0.029125,38
67,0,89
51,0,97
40,0,67
50,0,55
57,0.075,93
40,0.02075,54
64,0.1135,60
66,0.011375,86
53,0,55
